_date,total_clones,unique_clones
2022-12-06,2,1
2022-12-07,4,2
2023-01-03,5,3
2023-01-04,2,1
2023-02-24,1,1
2023-02-25,2,2
2023-02-27,2,1
2023-03-02,3,2
2023-05-23,5,3
2023-05-24,1,1
2023-05-27,1,1
2023-05-29,1,1
2023-06-21,1,1
2023-06-22,3,2
2023-06-26,2,2
2023-06-28,1,1
2023-07-02,1,1
2023-07-03,1,1
2023-07-04,1,1
2023-07-10,2,2
2023-07-17,2,2
2023-07-24,2,2
2023-07-28,2,1
2023-07-31,1,1
2023-08-01,1,1
2023-08-06,2,2
2023-08-07,3,3
2023-08-08,3,3
2023-08-14,1,1
2023-08-16,3,2
2023-08-21,2,2
2023-08-28,2,2
2023-08-29,1,1
2023-08-31,3,2
2023-09-04,2,2
2023-09-09,1,1
2023-09-11,3,2
2023-09-18,2,2
2023-09-25,1,1
2023-10-02,2,2
2023-10-09,1,1
2023-10-10,2,1
2023-10-16,2,2
2023-10-22,1,1
2023-10-23,1,1
2023-10-26,1,1
2023-10-28,1,1
2023-10-30,3,3
2023-11-05,1,1
2023-11-06,1,1
2023-11-13,2,2
2023-11-20,2,2
2023-11-25,1,1
2023-11-27,2,2
2023-12-04,1,1
2023-12-08,1,1
2023-12-09,1,1
2023-12-11,2,2
2023-12-12,2,1
2023-12-18,1,1
2023-12-22,1,1
2023-12-25,2,2
2023-12-29,2,1
2023-12-31,1,1
2024-01-01,1,1
2024-01-04,1,1
2024-01-06,1,1
2024-01-08,2,2
2024-01-10,2,1
2024-01-14,1,1
2024-01-15,1,1
2024-01-17,2,1
2024-01-18,1,1
2024-01-22,2,2
2024-01-29,1,1
2024-02-05,2,2
2024-02-07,1,1
2024-02-08,1,1
2024-02-12,1,1
2024-02-19,2,2
2024-02-26,1,1
2024-03-02,3,3
